id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo,Hora_Apertura,Hora_Cierre,Tiempo_Prom_Estancia,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
106,Centro Cultural Acatlán,57,Naucalpan de Juárez,-99.24827,19.48537,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
107,Casa de Cultura Parque Naucalli,57,Naucalpan de Juárez,-99.24208,19.49157,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
110,Casa de Cultura Valle de Aragón,58,Nezahualcóyotl,-99.05247,19.48834,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
111,Casa de Cultura Metropolitana Maestro Roberto Ruiz,58,Nezahualcóyotl,-99.03452,19.39602,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
112,Centro Cultural Municipal Dr. Jaime Torres Bodet,58,Nezahualcóyotl,-99.01051,19.40482,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
113,Centro Cultural El Castillito,58,Nezahualcóyotl,-99.00787,19.40412,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
114,Casa de la Cultura Ciudad Lago Epitacio Álvarez de León,58,Nezahualcóyotl,-99.04766,19.45474,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
115,Casa de Cultura Bosques de Aragón Mauricio García Vega,58,Nezahualcóyotl,-99.05104,19.47331,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
117,Centro Cultural Casa Las 2 Fridas,58,Nezahualcóyotl,-98.99499,19.38692,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
118,Centro Cultural Nezahualcóyotl,58,Nezahualcóyotl,-99.03326,19.42127,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
119,Casa de Cultura Metropolitana,58,Nezahualcóyotl,-99.0343,19.39579,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
120,Casa de Cultura Ciudad Lago,58,Nezahualcóyotl,-99.0476,19.4548,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
121,Casa de Cultura Las Águilas,58,Nezahualcóyotl,-98.99771,19.38404,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
122,Casa de Cultura Campestre Guadalupana,58,Nezahualcóyotl,-99.05189,19.48568,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
123,Casa de Cultura Bosques de Aragón,58,Nezahualcóyotl,-99.05087,19.47316,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
124,Centro Cultural El Castillito,58,Nezahualcóyotl,-99.00965,19.40325,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
125,Centro Cultural Municipal Dr. Jaime Torres Bodet,58,Nezahualcóyotl,-99.01073,19.40408,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
129,Módulo Cultural Multifuncional Nezahualcóyotl,58,Nezahualcóyotl,-99.01935,19.42315,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
130,Casa de Cultura Rey Neza,58,Nezahualcóyotl,-98.98338,19.39911,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
131,Centro Municipal de Artes Aplicadas,58,Nezahualcóyotl,-99.03012,19.43027,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
132,Casa de Cultura Campestre Guadalupana Lic. Prospero Domínguez Trejo,58,Nezahualcóyotl,-99.05162,19.48523,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
133,Casa de Cultura Valle de Aragón Pedro Martinez Osorio,58,Nezahualcóyotl,-99.05229,19.48887,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
134,Casa de Cultura Unidad Rey Neza Maestro Urbano Cruz Morales,58,Nezahualcóyotl,-98.98325,19.39922,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
135,Casa de Cultura Toltecalli,59,Nextlalpan,-99.07844,19.73367,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
136,Casa de Cultura Cualcalli,59,Nextlalpan,-99.05117,19.72375,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
